Test Name,Test Amount
Culture Sensitivity-(No Growth),0.00
Culture Sensitivity-Blood,1100
Culture Sensitivity-Body Fluid,0.00
Culture Sensitivity-Body Fluid (No Growth),0.00
Culture Sensitivity-Semen (No-Growth),0.00
Culture Sensitivity-Stool,420
Culture Sensitivity-Stool (No-Growth),0.00
Culture Sensitivity-Urine,350
Culture Sensitivity-Urine (No-Growth),0.00
Cystatin C,1600
"Cytological Examination, Body Fluid",0.00
"Cytology (Pap Smear) Conventional, Genital -Female",0.00
"Cytology (Pap Smear) Liquid Based, Genital -Female",0.00
"Cytology Examination, Body Fluids",0.00
"Cytology, Fine Needle Aspiration(Fnac)",0.00
Cytomegalovirus(Cmv) Antibodies Panel Igg & Igm,0.00
D - Dimer,1500
D-Dimer Quantitative,1500
Debridement Tissue,0.00
"Dengue Antibody, Igg",800
"Dengue Antibody, Igm",800
"Dengue Antibody, Ns1",800
"Dengue Antibody, Ns1(Rapid)",
"Dengue Fever Profile-3 , Rapid (Includes Ns1, Igg, Igm)",2200
Dengue Igg & Igm Antibody And Ns1 ,2200
Dengue Igg Antibody (Card Test),
Dengue Ns1 Antigen (Card Test),0.00
"Dengue Profile-1 (Includes Ns1, Igg, Igm)",2200.00
Dhea - Sulphate ( Dhea-S ),1200
"Dhea, Dehydroepiandrosterone",0.00
"Dheas, Dehydroepiandrosterone Sulphate",1200
DHT ( Di Hydro Testosterone ),2000
Digoxin Level,800
Digoxin(Lanoxin),800
Direct Renin,0.00
"Dlc(Differential Leucocyte Count), Automated",200
"Double Marker (USG REPORT, WEIGHT,LMP,DOB)",2500
Double Marker Graph,0.00
"Double Marker Test (USG REPORT, WEIGHT, LMP, DOB)",2500
Drug Abuse Panel-6,0.00
Drug Of Abuse- 5 Drugs,4000
Drug Of Abuse Panel -1,0.00
E.Histolytica Antigen Detection,0.00
E.Histolytica Wet Mount Liver Abscess For Amoebic Trophozoites,0.00
"E2 - Estradiol , Serum",1200
Ear Lesion,0.00
Echinococcus Antibody Igg (Hydatid Serology),0.00
Egfr,400
Egrf,400
Electrolytes,400
"Electrolytes, Random Urine",400
"Electrolytes, Serum",400
Elisa - Dengue Combicheck,0.00
Elisa Dengue Igm & Igg Antibodies,1600
Elisa- Dengue Igm Antibody,800
Endometrium Tb Pcr,0.00
Endometrium With Cervix,0.00
Entamoeba Histolytica Antibody (Igg)-Amoebiasis,0.00
"Epo, Erythropoeitin",0.00
Epstein Barr Viral Capsid Antigen - Igg,0.00
Epstein Barr Viral Capsid Antigen - Igm,0.00
Epstein Barr Virus (Nuclear Antigen) - Igg Antibodies,0.00
Epstein Barr Virus (Vca) - Igg Antibodies,0.00
Epstein Barr Virus (Vca) - Igm Antibodies,0.00
Epstein Barr Virus (Vcm+Vcg+Nuclear Ag) - Antibodies,0.00
Er Pr,5000
Er Pr Her2,0.00
Erythropoietin,2500
Esophageal Biopsy,0.00
Esr (Erythrocyte Sedimentation Rate),100
Estradiol ( E2 ),1200
Estradiol ( E3 ),1000
Factor V Leiden -Mutation Detection - Pcr,5000
Factor Viii (Anti-Hemophilia A) Activity,2500
Fasting Urine Sugar,150
Ferritin,700
Fibrin Degradation Products,1200
Fibrinogen,800
Fibrinogen Degradation Product ( Fdp ),1200
Fibrinogen Levels,800
Filaria Antibody,800
Filaria Antigen,750
Fine Needle Aspiration Cytology ( Fnac ),800
Fistula In Ano Excision,0.00
"Flow Cytometry, Kappa & Lambda Light Chains 3 **",0.00
Flowcytometry - Cd55 & Cd 59,0.00
Flowcytometry - Cd59,0.00
Fluid Cytology,600
Fluid Examination - Routine,0.00
Fluid Examination Report,0.00
Fluid For Afb Stain,0.00
Fluid For Malignanat Cells,400.00
Fnac Reporting,0.00
Folate (Folic Acid ) Rbc,2090
"Folate (Folic Acid ), Serum",1000
Folic Acid,1045
Follicle Stimulating Hormone ( Fsh ),800
Fragile X (Fmr1) Mutation Screen,0.00
Free B Hcg,1200
"Free Light Chain Assay (Kappa & Lambda), Serum(With Kappa Lambda Ratio)",4800
Free Prostate Specific Antigen (Free Psa ),935
Free T3 ( Tri-Iodothyronine - Free ),0.00
"Free T3, Free Tri-Iodothyronine",0.00
Free T4 (Thyroxine - Free),350.00
"Free T4, Free Thyroxine",0.00
Free Testosteron,1500
Free Thyroid Panel,800
"Free Thyroxine, FT4 ",400
"Free Triiodothyronine l, FT3 ",400
"Fructose, Semen",0.00
Fsh / Lh / Prl,2400
"Fsh, Follicle Stimulating Hormone",800
Fsh-Lh-Prl,2400
Fsh-Lh-Testosterone,2400
FT4,400
Fungal Culture & Sensitivity,0.00
Fungal Stain,0.00
Fungus Culture,0.00
Fungus Routine (Koh Mount),0.00
G6Pd (Glucose 6 Phosphate Dehydrogenase) Qualitative,800
G6Pd (Glucose 6 Phosphate Dehydrogenase) Quantitative,800
G6Pd Qualitative,800
Gad Antibody,0.00
Gamma Glutamyl Transferase (GGT),400
Gastric Or Duodenal Biopsy,0.00
Gene Expert Plus,1700
Gene Expert Plus Mtb/Rif,0.00
Gfr (Glomerular Filtration Rate),0.00
GGT (Gamma-glutamyl transferase),400
Gilbert'S Syndrome Gene Sequencing (Ugt1A1 Gene Polymorphism),0.00
Globulin,250
Glucose Challenge Test (Pg 1 Hr After 75 Gms Of Glucose),0.00
"Glucose Challenge Test(Gct), Pregnancy 75Gm Glucose",0.00
Glucose Challenge Test(Gct); Glucose 1Hr Obstetrical,0.00
Glucose FBS & PPBS,140.00
"Glucose Tolerance Test ( Gtt) Extended, With Insulin",300
"Glucose Tolerance Test(Gtt), Pregnancy 100Gm Glucose",0.00
"Glucose Tolerance Test(Gtt), Pregnancy 75Gm Glucose",0.00
"Glucose Tolerance Test,Oral (Ogtt)",385.00
"Glucose, Fasting (FBS)",70.00
"Glucose, Post Prandial (PP)",70.00
"Glucose, Random (Rbs)",70.00
"Glucose, Urine",100
Glycosylated Haemoglobin ( Ghb / Hba1C ),550
Gram Stain,250
Gram Stain Report,0.00
Graph,0.00
Growth Hormone ( Gh ),1500
"Growth Hormone,Hgh",660
Growth Positive,0.00
H.Pylori Antibodies Lga,0.00
H.Pylori Antibodies Lga And Igm,0.00
H.Pylori Antibodies Lgm,0.00
H.Pylori Antigen,0.00
Haemoglobin,80
Hanging Drop Preparation,300
Hanging Drop Preparation -Vibrio Cholerae,0.00
"Hb, Tlc, Dlc",150
"HB,WBC,TC,DC,ESR",200
HbA1c,550
"Hba1C, Glycosylated Hemoglobin",550
Hb-H,0.00
"Hcg Beta Total(Beta-Hcg), Maternal",0.00
"Hcg Beta Total(Beta-Hcg), Tumor Marker",0.00
Hdl Cholesterol,200
"Hdl Cholesterol, Direct",200.00
"He4, Human Epididymis Protein 4, Roma Index",0.00
Heinz Body Preparation,0.00
"Helicobacter Pylori (H. Pylori) Antibody, Igg",2500
"Helicobacter Pylori (H. Pylori)Antibodies Panel, Igg &Iga",0.00
"Helicobacter Pylori (H. Pylori)Antibody, Iga",2500
Helicobacter Pylori (H.Pylori) Antibody Igm,2440
"Helicobacter Pylori(H.Pylori) Antigen , Stool",0.00
Hematocrit ( Pcv ),100
Hemia Sac With Its Content,0.00
Hemicolectomy,0.00
Hemoglobin Electrophoresis,1000
"Hemoglobin,Hb",80
Hemorrhoidectomy,0.00
"Hemosiderin, Urine",0.00
"Hepatitis A Antibody (Anti Hav), Igg",800
"Hepatitis A Antibody (Anti Hav), Igm",800
Hepatitis A Virus - Igg ( Hav - Igg ),800
Hepatitis A Virus - Igm ( Hav - Igm ),800
Hepatitis A Virus (Hav) Panel - Hav Igm & Hav Igg,1600
"Hepatitis B Core Antibody (Anti-Hbc), Total",0.00
"Hepatitis B Core Anttibody (Anti-Hbc), Igm (Anti Hbc Ag-Igm)",0.00
Hepatitis B Surface Antibody (Anti Hbs),0.00
Hepatitis B Surface Antibody Total,0.00
Hepatitis B Surface Antigen (Hbsag) ,400
"Hepatitis B Surface Antigen (Hbsag),Elisa",500
"Hepatitis B Surface Antigen, Clia",400.00
Hepatitis B Viral Load -Quantitative Pcr,0.00
Hepatitis B Virus (Hbv) Qualitative Pcr,0.00
Hepatitis B Virus (Hbv) Quantitative Pcr,0.00
Hepatitis B Virus Core Antibody ( Hbcab ) Total,0.00
Hepatitis B Virus Envelope Antibody ( Hbeab ),0.00
Hepatitis B Virus Envelope Antigen ( Hbeag ),0.00
Hepatitis Be Antibody(Anti Hbe Ag),0.00
Hepatitis Be Antigen(Hbeag),800
"Hepatitis Be Panel (Includes Anti-Hbe, Hbeag)",0.00
Hepatitis C Total Antibody (Anti Hcv),600
"Hepatitis C Total Antibody (Anti Hcv), Elisa",935.00
"Hepatitis C Total Antibody (Anti Hcv), Rapid Card",0.00
Hepatitis C Viral Rna (Hcv Rna) Quantitative,0.00
Hepatitis C Virus ( Hcv ),600
Hepatitis C Virus (Hcv) Rna Viral Load,0.00
Hepatitis C Virus Genotyping,0.00
